identifiant_commande;identifiant_client;identifiant_produit;quantite;prix_unitaire;date
OR004573;CL000062;PR000002;47;14.2;2022-06-05
OR004574;CL000080;PR000008;21;28.62;2022-06-05
OR004575;CL000005;PR000009;1;13.98;2022-06-05
OR004576;CL000055;PR000013;50;3.61;2022-06-05
OR004577;CL000063;PR000030;21;12.1;2022-06-05
OR004578;CL000005;PR000027;3;31.83;2022-06-05
OR004579;CL000005;PR000013;29;3.47;2022-06-06
OR004580;CL000008;PR000017;13;24.43;2022-06-06
OR004581;CL000024;PR000003;11;26.81;2022-06-06
OR004582;CL000005;PR000031;3;;2022-06-06
OR004583;CL000005;PR000014;29;30.56;2022-06-06
OR004584;CL000003;PR000018;18;7.81;2022-06-06
OR004585;CL000083;PR000008;13;28.62;2022-06-06
OR004586;CL000051;PR000019;27;23.41;2022-06-06
OR004587;CL000040;PR000023;47;12.87;2022-06-06
OR004588;CL000056;PR000011;12;33.64;2022-06-06
OR004589;CL000007;PR000005;7;10.62;2022-06-07
OR004590;CL000053;PR000018;22;8.29;2022-06-07
OR004591;CL000003;PR000009;2;14.26;2022-06-07
OR004592;CL000003;PR000018;43;7.81;2022-06-07
OR004593;CL000055;PR000017;18;24.43;2022-06-07
OR004594;CL000016;PR000001;2;2.31;2022-06-07
OR004595;CL000047;PR000027;39;33.78;2022-06-07
OR004596;CL000097;PR000014;50;34.41;2022-06-07
OR004597;CL000026;PR000002;49;13.92;2022-06-07
OR004598;CL000010;PR000010;10;20.86;2022-06-07
OR004599;CL000078;PR000024;15;12.29;2022-06-07
OR004600;CL000030;PR000013;41;3.75;2022-06-07
OR004601;CL000013;PR000004;46;9.21;2022-06-08
OR004602;CL000004;PR000014;50;31.17;2022-06-08
OR004603;CL000098;PR000027;39;32.47;2022-06-08
OR004604;CL000023;PR000017;39;24.92;2022-06-08
OR004605;CL000030;PR000015;22;16.97;2022-06-08
OR004606;CL000005;PR000010;16;20.86;2022-06-08
OR004607;CL000005;PR000005;5;10.62;2022-06-08
OR004608;CL000049;PR000001;36;2.41;2022-06-09
OR004609;CL000026;PR000004;27;9.21;2022-06-09
OR004610;CL000013;PR000001;22;2.36;2022-06-09
OR004611;CL000010;PR000031;25;10.08;2022-06-09
OR004612;CL000063;PR000015;22;16.31;2022-06-09
OR004613;CL000076;PR000007;25;24.02;2022-06-09
OR004614;CL000013;PR000027;47;31.83;2022-06-09
OR004615;CL000008;PR000003;27;26.28;2022-06-09
OR004616;CL000013;PR000027;21;31.83;2022-06-10
OR004617;CL000005;PR000009;41;13.98;2022-06-10
OR004618;CL000029;PR000008;17;28.62;2022-06-10
OR004619;CL000055;PR000001;42;2.31;2022-06-10
OR004620;CL000040;PR000030;10;12.1;2022-06-10
OR004621;CL000072;PR000002;36;14.2;2022-06-10
OR004622;CL000010;PR000004;40;9.21;2022-06-10
OR004623;CL000001;PR000028;29;2.53;2022-06-10
OR004624;CL000001;PR000009;23;14.84;2022-06-10
OR004625;CL000038;PR000025;46;26.41;2022-06-10
OR004626;CL000070;PR000017;41;25.42;2022-06-10
OR004627;CL000026;PR000024;50;12.05;2022-06-10
OR004628;CL000004;PR000015;7;15.99;2022-06-10
OR004629;CL000005;PR000002;9;13.92;2022-06-10
OR004630;CL000040;PR000009;31;15.14;2022-06-11
OR004631;CL000005;PR000005;5;10.62;2022-06-11
OR004632;CL000092;PR000006;4;24.73;2022-06-11
OR004633;CL000008;PR000020;28;14.5;2022-06-11
OR004634;CL000050;PR000031;2;10.08;2022-06-11
OR004635;CL000077;PR000006;1;26.23;2022-06-11
OR004636;CL000070;PR000007;20;24.02;2022-06-11
OR004637;CL000004;PR000031;24;10.08;2022-06-11
OR004638;CL000055;PR000018;45;7.81;2022-06-11
OR004639;CL000016;PR000008;30;28.06;2022-06-12
OR004640;CL000076;PR000009;36;15.14;2022-06-12
OR004641;CL000057;PR000010;38;21.28;2022-06-12
OR004642;CL000011;PR000018;36;8.29;2022-06-12
OR004643;CL000074;PR000001;14;2.51;2022-06-12
OR004644;CL000042;PR000014;26;33.08;2022-06-12
OR004645;CL000095;PR000012;36;15.59;2022-06-12
OR004646;CL000062;PR000009;12;15.14;2022-06-13
OR004647;CL000050;PR000020;36;14.79;2022-06-13
OR004648;CL000023;PR000006;31;24.25;2022-06-13
OR004649;CL000008;PR000010;12;20.86;2022-06-14
OR004650;CL000049;PR000031;15;10.28;2022-06-14
OR004651;CL000024;PR000009;13;14.84;2022-06-14
OR004652;CL000026;PR000021;45;33.63;2022-06-14
OR004653;CL000045;PR000006;7;24.73;2022-06-14
OR004654;CL000083;PR000016;1;6.77;2022-06-14
OR004655;CL000016;PR000028;15;2.53;2022-06-14
OR004656;CL000066;PR000014;45;33.08;2022-06-14
OR004657;CL000005;PR000028;15;2.53;2022-06-14
OR004658;CL000005;PR000004;28;8.85;2022-06-15
OR004659;CL000096;PR000001;22;2.46;2022-06-15
OR004660;CL000001;PR000018;32;7.97;2022-06-15
OR004661;CL000004;PR000025;6;26.41;2022-06-15
OR004662;CL000068;PR000030;38;12.1;2022-06-15
OR004663;CL000026;PR000018;25;7.81;2022-06-15
OR004664;CL000005;PR000021;18;33.63;2022-06-15
OR004665;CL000034;PR000009;48;15.14;2022-06-15
OR004666;CL000007;PR000003;22;27.35;2022-06-16
OR004667;CL000013;PR000003;38;26.28;2022-06-16
OR004668;CL000052;PR000005;22;10.62;2022-06-16
OR004669;CL000005;PR000027;30;31.21;2022-06-16
OR004670;CL000032;PR000028;50;2.53;2022-06-16
OR004671;CL000062;PR000009;38;15.14;2022-06-16
OR004672;CL000010;PR000005;38;10.62;2022-06-16
OR004673;CL000012;PR000014;27;34.41;2022-06-16
OR004674;CL000099;PR000013;43;3.83;2022-06-16
OR004675;CL000005;PR000015;9;15.99;2022-06-16
OR004676;CL000029;PR000001;35;2.41;2022-06-16
OR004677;CL000033;PR000027;38;33.78;2022-06-17
OR004678;CL000005;PR000010;18;20.86;2022-06-17
OR004679;CL000016;PR000020;26;14.5;2022-06-17
OR004680;CL000063;PR000004;15;9.39;2022-06-17
OR004681;CL000005;PR000006;34;20.69;2022-06-17
OR004682;CL000002;PR000019;21;22.5;2022-06-17
OR004683;CL000067;PR000031;2;10.28;2022-06-17
OR004684;CL000016;PR000014;10;31.17;2022-06-17
OR004685;CL000059;PR000008;43;28.62;2022-06-17
OR004686;CL000036;PR000030;41;12.1;2022-06-17
OR004687;CL000013;PR000001;36;2.36;2022-06-17
OR004688;CL000031;PR000014;9;34.41;2022-06-17
OR004689;CL000060;PR000012;40;15.28;2022-06-17
OR004690;CL000039;PR000006;48;24.25;2022-06-17
OR004691;CL000005;PR000015;39;15.68;2022-06-18
OR004692;CL000005;PR000004;24;9.03;2022-06-18
OR004693;CL000071;PR000005;13;;2022-06-18
OR004694;CL000026;PR000028;47;2.53;2022-06-18
OR004695;CL000071;PR000001;26;2.36;2022-06-18
OR004696;CL000073;PR000015;44;17.66;2022-06-18
OR004697;CL000013;PR000006;10;23.3;2022-06-18
OR004698;CL000005;PR000010;37;20.86;2022-06-18
OR004699;CL000030;PR000027;4;31.83;2022-06-18
OR004700;CL000040;PR000031;3;10.28;2022-06-18
OR004701;CL000088;PR000001;18;2.41;2022-06-19
OR004702;CL000013;PR000022;45;30.19;2022-06-19
OR004703;CL000005;PR000023;3;11.66;2022-06-19
OR004704;CL000052;PR000001;21;2.41;2022-06-19
OR004705;CL000061;PR000022;2;30.19;2022-06-19
OR004706;CL000005;PR000025;8;26.41;2022-06-19
OR004707;CL000003;PR000005;25;10.62;2022-06-19
OR004708;CL000003;PR000021;2;33.63;2022-06-19
OR004709;CL000055;PR000016;19;6.38;2022-06-19
OR004710;CL000026;PR000006;12;21.95;2022-06-19
OR004711;CL000044;PR000009;42;15.14;2022-06-19
OR004712;CL000098;PR000019;34;23.41;2022-06-20
OR004713;CL000063;PR000009;23;14.84;2022-06-20
OR004714;CL000010;PR000001;15;2.36;2022-06-20
OR004715;CL000092;PR000031;24;10.28;2022-06-20
OR004716;CL000027;PR000002;23;13.92;2022-06-20
OR004717;CL000088;PR000008;5;28.62;2022-06-20
OR004718;CL000066;PR000018;18;8.29;2022-06-20
OR004719;CL000016;PR000020;15;14.5;2022-06-20
OR004720;CL000020;PR000013;40;4.07;2022-06-20
OR004721;CL000089;PR000001;43;2.51;2022-06-21
OR004722;CL000068;PR000021;19;33.63;2022-06-21
OR004723;CL000005;PR000002;26;13.92;2022-06-21
OR004724;CL000004;PR000014;6;31.17;2022-06-21
OR004725;CL000019;PR000014;39;31.79;2022-06-21
OR004726;CL000100;PR000030;42;12.1;2022-06-21
OR004727;CL000002;PR000008;37;28.62;2022-06-21
OR004728;CL000077;PR000016;49;6.77;2022-06-21
OR004729;CL000016;PR000005;10;10.62;2022-06-21
OR004730;CL000042;PR000006;28;24.25;2022-06-21
OR004731;CL000055;PR000022;9;30.19;2022-06-21
OR004732;CL000044;PR000025;35;26.41;2022-06-21
OR004733;CL000008;PR000015;33;15.99;2022-06-21
OR004734;CL000048;PR000001;46;2.51;2022-06-21
OR004735;CL000087;PR000001;34;2.51;2022-06-22
OR004736;CL000020;PR000006;28;25.72;2022-06-22
OR004737;CL000019;PR000002;48;13.92;2022-06-22
OR004738;CL000073;PR000028;11;2.58;2022-06-22
OR004739;CL000062;PR000008;5;28.62;2022-06-22
OR004740;CL000024;PR000010;25;20.86;2022-06-22
OR004741;CL000024;PR000028;13;2.53;2022-06-22
OR004742;CL000027;PR000003;13;27.35;2022-06-23
OR004743;CL000015;PR000002;16;14.2;2022-06-23
OR004744;CL000070;PR000027;43;31.83;2022-06-23
OR004745;CL000026;PR000006;35;21.95;2022-06-23
OR004746;CL000005;PR000009;18;13.98;2022-06-23
OR004747;CL000020;PR000019;34;23.41;2022-06-23
OR004748;CL000001;PR000025;26;26.41;2022-06-24
OR004749;CL000001;PR000019;34;22.5;2022-06-24
OR004750;CL000019;PR000015;7;15.99;2022-06-24
OR004751;CL000076;PR000018;33;8.29;2022-06-24
OR004752;CL000036;PR000030;30;12.1;2022-06-24
OR004753;CL000056;PR000018;50;7.97;2022-06-24
OR004754;CL000005;PR000013;4;3.47;2022-06-24
OR004755;CL000023;PR000022;42;30.19;2022-06-24
OR004756;CL000052;PR000002;5;13.92;2022-06-24
OR004757;CL000005;PR000022;11;30.19;2022-06-25
OR004758;CL000045;PR000005;25;10.62;2022-06-25
OR004759;CL000005;PR000022;42;30.19;2022-06-25
OR004760;CL000089;PR000009;13;15.14;2022-06-25
OR004761;CL000028;PR000013;48;4.07;2022-06-25
OR004762;CL000001;PR000014;12;31.79;2022-06-25
OR004763;CL000035;PR000003;3;27.35;2022-06-25
OR004764;CL000062;PR000024;32;12.29;2022-06-25
OR004765;CL000005;PR000002;33;13.92;2022-06-26
OR004766;CL000079;PR000008;29;;2022-06-26
OR004767;CL000078;PR000004;8;9.39;2022-06-26
OR004768;CL000060;PR000015;31;17.66;2022-06-26
OR004769;CL000079;PR000027;27;32.47;2022-06-26
OR004770;CL000095;PR000022;13;30.19;2022-06-26
OR004771;CL000067;PR000030;21;12.1;2022-06-26
OR004772;CL000016;PR000007;34;24.02;2022-06-26
OR004773;CL000069;PR000006;18;24.73;2022-06-26
OR004774;CL000098;PR000001;12;2.51;2022-06-26
OR004775;CL000074;PR000001;45;2.51;2022-06-27
OR004776;CL000005;PR000015;30;15.68;2022-06-27
OR004777;CL000003;PR000008;18;28.06;2022-06-27
OR004778;CL000019;PR000006;28;23.3;2022-06-27
OR004779;CL000006;PR000015;47;16.31;2022-06-27
OR004780;CL000055;PR000010;32;20.86;2022-06-27
OR004781;CL000069;PR000001;21;2.46;2022-06-27
OR004782;CL000002;PR000008;43;28.62;2022-06-27
OR004783;CL000009;PR000013;9;3.91;2022-06-27
OR004784;CL000005;PR000005;29;10.62;2022-06-27
OR004785;CL000005;PR000006;39;20.69;2022-06-27
OR004786;CL000005;PR000011;29;33.64;2022-06-27
OR004787;CL000034;PR000016;20;6.64;2022-06-27
OR004788;CL000087;PR000003;42;27.9;2022-06-27
OR004789;CL000016;PR000014;26;31.17;2022-06-28
OR004790;CL000029;PR000003;14;27.35;2022-06-28
OR004791;CL000044;PR000014;12;33.08;2022-06-28
OR004792;CL000031;PR000005;27;10.62;2022-06-28
OR004793;CL000005;PR000022;26;30.19;2022-06-28
OR004794;CL000005;PR000019;36;21.63;2022-06-28
OR004795;CL000055;PR000014;7;31.17;2022-06-28
OR004796;CL000014;PR000001;8;2.41;2022-06-28
OR004797;CL000099;PR000015;46;16.97;2022-06-29
OR004798;CL000008;PR000006;32;21.52;2022-06-29
OR004799;CL000087;PR000012;44;15.28;2022-06-29
OR004800;CL000022;PR000018;28;8.29;2022-06-29
OR004801;CL000010;PR000013;37;3.61;2022-06-29
OR004802;CL000004;PR000014;35;31.17;2022-06-29
OR004803;CL000070;PR000027;45;31.83;2022-06-29
OR004804;CL000093;PR000005;28;10.62;2022-06-29
OR004805;CL000039;PR000016;23;6.64;2022-06-29
OR004806;CL000040;PR000014;43;34.41;2022-06-29
OR004807;CL000083;PR000015;3;18.01;2022-06-29
OR004808;CL000064;PR000028;7;2.53;2022-06-29
OR004809;CL000008;PR000003;37;26.28;2022-06-29
OR004810;CL000028;PR000031;30;10.28;2022-06-30
OR004811;CL000016;PR000015;40;15.99;2022-06-30
OR004812;CL000008;PR000006;32;21.95;2022-06-30
OR004813;CL000032;PR000030;3;12.1;2022-06-30
OR004814;CL000034;PR000003;22;27.35;2022-06-30
OR004815;CL000004;PR000005;33;10.62;2022-06-30
OR004816;CL000099;PR000015;45;;2022-06-30
OR004817;CL000037;PR000013;14;4.07;2022-07-01
OR004818;CL000024;PR000003;48;26.81;2022-07-01
OR004819;CL000014;PR000018;31;8.13;2022-07-01
OR004820;CL000026;PR000006;42;21.95;2022-07-01
OR004821;CL000033;PR000027;4;33.78;2022-07-01
OR004822;CL000055;PR000006;23;22.39;2022-07-01
OR004823;CL000063;PR000017;7;24.92;2022-07-01
OR004824;CL000055;PR000015;19;15.99;2022-07-01
OR004825;CL000005;PR000028;34;2.48;2022-07-01
OR004826;CL000005;PR000013;27;3.47;2022-07-02
OR004827;CL000055;PR000003;26;26.28;2022-07-02
OR004828;CL000026;PR000001;26;2.31;2022-07-02
OR004829;CL000095;PR000012;27;15.59;2022-07-02
OR004830;CL000005;PR000006;39;20.69;2022-07-02
OR004831;CL000096;PR000004;15;9.58;2022-07-02
OR004832;CL000017;PR000009;23;15.14;2022-07-02
OR004833;CL000099;PR000010;6;21.28;2022-07-02
OR004834;CL000088;PR000003;22;27.35;2022-07-02
OR004835;CL000069;PR000011;24;33.64;2022-07-03
OR004836;CL000016;PR000017;18;24.43;2022-07-03
OR004837;CL000026;PR000027;22;31.83;2022-07-03
OR004838;CL000034;PR000023;48;13.13;2022-07-03
OR004839;CL000034;PR000005;30;10.62;2022-07-03
OR004840;CL000025;PR000006;24;24.73;2022-07-03
OR004841;CL000017;PR000027;39;31.83;2022-07-03
OR004842;CL000088;PR000011;37;33.64;2022-07-03
OR004843;CL000024;PR000028;23;2.53;2022-07-03
OR004844;CL000005;PR000009;14;13.98;2022-07-03
OR004845;CL000060;PR000004;29;9.58;2022-07-03
OR004846;CL000050;PR000014;5;31.79;2022-07-03
OR004847;CL000025;PR000015;14;16.97;2022-07-04
OR004848;CL000020;PR000011;17;33.64;2022-07-04
OR004849;CL000008;PR000012;25;14.98;2022-07-04
OR004850;CL000055;PR000018;5;7.81;2022-07-04
OR004851;CL000016;PR000014;37;31.17;2022-07-04
OR004852;CL000091;PR000004;18;9.77;2022-07-04
OR004853;CL000010;PR000027;50;31.83;2022-07-04
OR004854;CL000002;PR000016;5;6.51;2022-07-04
OR004855;CL000070;PR000004;6;9.39;2022-07-04
OR004856;CL000007;PR000031;43;10.28;2022-07-04
OR004857;CL000024;PR000003;28;26.81;2022-07-04
OR004858;CL000073;PR000009;43;15.14;2022-07-04
OR004859;CL000026;PR000013;12;3.54;2022-07-04
OR004860;CL000052;PR000028;46;2.53;2022-07-04
OR004861;CL000008;PR000008;11;28.06;2022-07-04
OR004862;CL000016;PR000029;25;26.85;2022-07-05
OR004863;CL000080;PR000008;2;28.62;2022-07-05
OR004864;CL000056;PR000005;46;10.62;2022-07-05
OR004865;CL000029;PR000012;27;15.28;2022-07-05
OR004866;CL000090;PR000002;28;14.2;2022-07-05
OR004867;CL000026;PR000027;26;31.83;2022-07-05
OR004868;CL000002;PR000015;1;15.99;2022-07-05
OR004869;CL000074;PR000014;22;34.41;2022-07-06
OR004870;CL000026;PR000023;2;11.89;2022-07-06
OR004871;CL000004;PR000015;23;15.99;2022-07-06
OR004872;CL000051;PR000013;18;3.83;2022-07-06
OR004873;CL000021;PR000020;24;14.79;2022-07-06
OR004874;CL000055;PR000007;18;24.02;2022-07-06
OR004875;CL000075;PR000028;34;2.53;2022-07-06
OR004876;CL000064;PR000020;36;14.79;2022-07-06
OR004877;CL000034;PR000019;41;22.95;2022-07-06
OR004878;CL000036;PR000024;35;12.29;2022-07-06
OR004879;CL000005;PR000015;30;15.99;2022-07-06
OR004880;CL000008;PR000006;50;21.52;2022-07-07
OR004881;CL000045;PR000014;21;34.41;2022-07-07
OR004882;CL000005;PR000014;4;30.56;2022-07-07
OR004883;CL000013;PR000001;4;2.36;2022-07-07
OR004884;CL000018;PR000018;34;8.29;2022-07-07
OR004885;CL000019;PR000021;18;33.63;2022-07-07
OR004886;CL000086;PR000015;4;18.01;2022-07-07
OR004887;CL000019;PR000023;12;11.89;2022-07-07
OR004888;CL000008;PR000001;27;2.31;2022-07-08
OR004889;CL000060;PR000002;41;14.2;2022-07-08
OR004890;CL000039;PR000028;9;2.53;2022-07-08
OR004891;CL000019;PR000027;14;31.83;2022-07-08
OR004892;CL000027;PR000016;23;6.64;2022-07-08
OR004893;CL000024;PR000016;19;6.38;2022-07-08
OR004894;CL000055;PR000005;29;10.62;2022-07-08
OR004895;CL000018;PR000024;12;12.29;2022-07-08
OR004896;CL000001;PR000015;45;;2022-07-08
OR004897;CL000024;PR000030;27;12.1;2022-07-09
OR004898;CL000003;PR000006;28;22.84;2022-07-09
OR004899;CL000045;PR000013;14;3.83;2022-07-09
OR004900;CL000016;PR000001;48;2.31;2022-07-09
OR004901;CL000069;PR000009;19;15.14;2022-07-09
OR004902;CL000013;PR000001;8;2.36;2022-07-09
OR004903;CL000095;PR000005;24;10.62;2022-07-10
OR004904;CL000078;PR000026;29;11.15;2022-07-10
OR004905;CL000029;PR000006;33;24.25;2022-07-10
OR004906;CL000010;PR000027;32;31.83;2022-07-10
OR004907;CL000005;PR000031;48;10.08;2022-07-10
OR004908;CL000026;PR000015;29;15.99;2022-07-10
OR004909;CL000038;PR000016;48;6.77;2022-07-10
OR004910;CL000078;PR000028;37;2.53;2022-07-10
OR004911;CL000033;PR000001;22;2.51;2022-07-10
OR004912;CL000004;PR000030;44;12.1;2022-07-10
OR004913;CL000052;PR000001;29;2.41;2022-07-11
OR004914;CL000051;PR000011;19;33.64;2022-07-11
OR004915;CL000008;PR000020;40;14.5;2022-07-11
OR004916;CL000016;PR000001;27;2.31;2022-07-11
OR004917;CL000008;PR000016;44;6.38;2022-07-11
OR004918;CL000050;PR000018;24;7.97;2022-07-11
OR004919;CL000063;PR000013;2;3.61;2022-07-11
OR004920;CL000008;PR000013;43;3.54;2022-07-11
OR004921;CL000056;PR000019;19;22.5;2022-07-11
OR004922;CL000042;PR000014;41;33.08;2022-07-12
OR004923;CL000003;PR000020;17;14.79;2022-07-12
OR004924;CL000010;PR000009;42;14.84;2022-07-12
OR004925;CL000005;PR000009;33;13.98;2022-07-12
OR004926;CL000063;PR000008;22;28.62;2022-07-12
OR004927;CL000055;PR000006;38;22.39;2022-07-12
OR004928;CL000055;PR000004;26;9.21;2022-07-13
OR004929;CL000013;PR000014;14;31.79;2022-07-13
OR004930;CL000001;PR000009;32;14.84;2022-07-13
OR004931;CL000097;PR000008;48;28.62;2022-07-13
OR004932;CL000024;PR000006;32;23.77;2022-07-13
OR004933;CL000005;PR000010;2;20.86;2022-07-13
OR004934;CL000010;PR000025;41;26.41;2022-07-13
OR004935;CL000005;PR000018;40;7.66;2022-07-13
OR004936;CL000024;PR000016;22;6.38;2022-07-13
OR004937;CL000013;PR000006;7;23.3;2022-07-14
OR004938;CL000044;PR000014;23;33.08;2022-07-14
OR004939;CL000014;PR000004;7;9.39;2022-07-14
OR004940;CL000045;PR000005;41;10.62;2022-07-14
OR004941;CL000022;PR000009;2;15.14;2022-07-14
OR004942;CL000060;PR000013;29;3.83;2022-07-14
OR004943;CL000100;PR000001;17;2.46;2022-07-14
OR004944;CL000066;PR000011;20;33.64;2022-07-14
OR004945;CL000005;PR000019;13;21.63;2022-07-15
OR004946;CL000016;PR000015;48;15.99;2022-07-15
OR004947;CL000005;PR000009;26;13.98;2022-07-15
OR004948;CL000016;PR000026;13;10.93;2022-07-15
OR004949;CL000054;PR000014;45;33.74;2022-07-15
OR004950;CL000044;PR000003;35;27.35;2022-07-15
OR004951;CL000005;PR000028;50;2.48;2022-07-15
OR004952;CL000019;PR000016;10;6.38;2022-07-16
OR004953;CL000005;PR000030;42;12.1;2022-07-16
OR004954;CL000005;PR000001;10;2.31;2022-07-16
OR004955;CL000055;PR000001;41;2.31;2022-07-16
OR004956;CL000088;PR000002;32;14.2;2022-07-16
OR004957;CL000016;PR000008;1;28.06;2022-07-16
OR004958;CL000054;PR000015;14;16.64;2022-07-16
OR004959;CL000083;PR000011;7;33.64;2022-07-16
OR004960;CL000055;PR000013;43;3.61;2022-07-16
OR004961;CL000070;PR000028;47;2.53;2022-07-17
OR004962;CL000010;PR000001;35;2.36;2022-07-17
OR004963;CL000019;PR000023;31;11.89;2022-07-17
OR004964;CL000090;PR000026;37;11.15;2022-07-17
OR004965;CL000014;PR000021;20;33.63;2022-07-17
OR004966;CL000093;PR000011;50;33.64;2022-07-17
OR004967;CL000023;PR000008;26;28.62;2022-07-17
OR004968;CL000017;PR000002;32;;2022-07-17
OR004969;CL000026;PR000009;43;14.26;2022-07-17
OR004970;CL000005;PR000001;32;2.31;2022-07-17
OR004971;CL000008;PR000003;10;26.28;2022-07-17
OR004972;CL000098;PR000001;1;2.51;2022-07-17
OR004973;CL000041;PR000004;41;9.39;2022-07-18
OR004974;CL000063;PR000010;18;20.86;2022-07-18
OR004975;CL000005;PR000001;25;2.31;2022-07-18
OR004976;CL000039;PR000003;16;27.35;2022-07-18
OR004977;CL000032;PR000018;23;8.29;2022-07-18
OR004978;CL000044;PR000013;18;3.75;2022-07-18
OR004979;CL000063;PR000005;12;10.62;2022-07-18
OR004980;CL000004;PR000028;4;2.53;2022-07-18
OR004981;CL000013;PR000009;46;14.55;2022-07-19
OR004982;CL000027;PR000008;26;;2022-07-19
OR004983;CL000005;PR000013;44;3.54;2022-07-19
OR004984;CL000013;PR000020;25;14.79;2022-07-19
OR004985;CL000023;PR000013;50;3.68;2022-07-19
OR004986;CL000032;PR000020;13;14.79;2022-07-19
OR004987;CL000026;PR000020;40;14.79;2022-07-20
OR004988;CL000081;PR000005;35;10.62;2022-07-20
OR004989;CL000088;PR000028;25;2.53;2022-07-20
OR004990;CL000043;PR000020;23;14.79;2022-07-20
OR004991;CL000005;PR000027;28;30.6;2022-07-20
OR004992;CL000008;PR000005;23;10.62;2022-07-20
OR004993;CL000052;PR000017;43;24.92;2022-07-20
OR004994;CL000026;PR000018;50;7.81;2022-07-20
OR004995;CL000014;PR000013;3;3.75;2022-07-20
OR004996;CL000041;PR000004;12;9.39;2022-07-21
OR004997;CL000005;PR000004;18;9.03;2022-07-21
OR004998;CL000005;PR000014;3;30.56;2022-07-21
OR004999;CL000008;PR000008;35;28.06;2022-07-21
OR005000;CL000029;PR000016;30;6.64;2022-07-21
OR005001;CL000019;PR000006;15;23.3;2022-07-21
OR005002;CL000093;PR000003;9;27.9;2022-07-21
OR005003;CL000014;PR000002;39;13.92;2022-07-21
OR005004;CL000055;PR000018;4;7.81;2022-07-21
OR005005;CL000054;PR000015;33;16.64;2022-07-21
OR005006;CL000005;PR000028;3;2.53;2022-07-21
OR005007;CL000010;PR000031;33;10.08;2022-07-21
OR005008;CL000018;PR000019;25;22.95;2022-07-21
OR005009;CL000019;PR000014;24;31.79;2022-07-21
OR005010;CL000042;PR000031;21;10.28;2022-07-21
OR005011;CL000029;PR000017;4;25.42;2022-07-22
OR005012;CL000043;PR000006;37;24.73;2022-07-22
OR005013;CL000071;PR000014;46;33.08;2022-07-22
OR005014;CL000005;PR000030;11;12.1;2022-07-22
OR005015;CL000002;PR000006;24;23.77;2022-07-22
OR005016;CL000070;PR000014;20;34.41;2022-07-22
OR005017;CL000016;PR000005;33;10.62;2022-07-22
OR005018;CL000016;PR000019;1;21.63;2022-07-22
OR005019;CL000032;PR000021;11;33.63;2022-07-23
OR005020;CL000081;PR000005;3;10.62;2022-07-23
OR005021;CL000008;PR000008;24;28.06;2022-07-23
OR005022;CL000027;PR000028;19;2.53;2022-07-23
OR005023;CL000005;PR000005;4;10.62;2022-07-23
OR005024;CL000062;PR000011;27;33.64;2022-07-23
OR005025;CL000055;PR000006;39;22.39;2022-07-23
OR005026;CL000075;PR000014;28;34.41;2022-07-23
OR005027;CL000040;PR000014;9;34.41;2022-07-23
OR005028;CL000016;PR000009;9;13.98;2022-07-23
OR005029;CL000005;PR000013;3;3.47;2022-07-23
OR005030;CL000025;PR000005;26;10.62;2022-07-23
OR005031;CL000056;PR000019;49;22.5;2022-07-23
OR005032;CL000008;PR000009;33;14.26;2022-07-23
OR005033;CL000057;PR000003;19;27.9;2022-07-24
OR005034;CL000026;PR000006;16;21.95;2022-07-24
OR005035;CL000024;PR000020;5;14.79;2022-07-24
OR005036;CL000008;PR000004;38;9.21;2022-07-24
OR005037;CL000099;PR000020;27;14.79;2022-07-24
OR005038;CL000006;PR000010;1;20.86;2022-07-24
OR005039;CL000005;PR000016;32;6.38;2022-07-24
OR005040;CL000052;PR000009;45;14.84;2022-07-24
OR005041;CL000022;PR000008;25;28.62;2022-07-24
OR005042;CL000031;PR000001;34;2.46;2022-07-24
OR005043;CL000007;PR000014;17;34.41;2022-07-24
OR005044;CL000071;PR000010;16;20.86;2022-07-24
OR005045;CL000049;PR000001;10;2.41;2022-07-24
OR005046;CL000002;PR000009;12;14.84;2022-07-24
OR005047;CL000031;PR000006;17;25.22;2022-07-25
OR005048;CL000014;PR000017;2;25.42;2022-07-25
OR005049;CL000005;PR000018;33;7.66;2022-07-25
OR005050;CL000004;PR000008;11;28.06;2022-07-25
OR005051;CL000005;PR000001;27;2.31;2022-07-25
OR005052;CL000072;PR000028;41;2.53;2022-07-25
OR005053;CL000042;PR000026;19;11.15;2022-07-25
OR005054;CL000072;PR000024;12;12.05;2022-07-25
OR005055;CL000018;PR000028;41;2.53;2022-07-25
OR005056;CL000056;PR000027;11;31.83;2022-07-25
OR005057;CL000058;PR000020;32;14.79;2022-07-26
OR005058;CL000016;PR000004;25;9.03;2022-07-26
OR005059;CL000034;PR000015;2;16.97;2022-07-26
OR005060;CL000004;PR000015;7;15.99;2022-07-26
OR005061;CL000061;PR000012;50;15.28;2022-07-26
OR005062;CL000005;PR000015;21;15.68;2022-07-26
OR005063;CL000066;PR000018;7;8.29;2022-07-27
OR005064;CL000051;PR000004;47;9.39;2022-07-27
OR005065;CL000022;PR000015;46;17.66;2022-07-27
OR005066;CL000055;PR000006;35;22.84;2022-07-27
OR005067;CL000026;PR000023;15;11.89;2022-07-27
OR005068;CL000003;PR000008;29;28.06;2022-07-27
OR005069;CL000072;PR000030;9;12.1;2022-07-27
OR005070;CL000050;PR000022;29;30.19;2022-07-28
OR005071;CL000099;PR000002;20;14.2;2022-07-28
